sample_idx,original_idx,text,name,label,bert_pred,bert_proba1,category
23,23,где купить термопасту,"ОнЛайн Трейд; Онлайн Трейд; Онлайнтрейд; Онлайнтрейд. Ру; Онлайнтрейд. ру; Онлайнтрейд. ру, пункт выдачи",0,1,0.9038972,label_noise
24,24,кафе 24 часа,СушиТория; SushiToria; Sushi Toria; Суши Тория; Сушитория; Тория,0,1,0.8190681,requires_search
25,25,рестораны москвы с панорамным,Dr. Живаго; Dr. Zhivago; Гранд кафе Dr. Живаго; Гранд кафе ДР. Живаго; Гранд кафе Доктор. Живаго; Гранд-кафе Dr. Живаго; Гранд-кафе Доктор Живаго; Живаго; Ресторан Композитор; Grand kafe Dr. Zhivago,1,0,0.21638788,label_noise
26,26,обзорная экскурсия по москве на автобусе на двухэтажном от вднх отзывы,Туроператор Майс; Mays tour operator; Майс; Туристическая компания Майс; Туроператор МАЙС; Turoperator MAYS; Turoperator Mays,1,0,0.15231964,label_noise
27,27,молекулярная кухня рестораны,БирХаус; BeerHouse; Бир хаус; Бир-Хауз; Бир-хаус; ДРАФТ ООО; Паб Бирхаус; Пивной ресторан БирХаус на Тверской; РЕСТОРАН БИРХАУС; BeerHouse Tverskaya; Beerhouse Tverskaya; Restoran Birkhaus,1,0,0.16821708,label_noise
28,28,медкомиссия бехтерев,Медэкс; Meditsinsky tsentr MedEks; Bolblank; МедЭкс; Медицинский Центр ООО МедЭкс,1,0,0.22509582,label_noise
29,29,ледовый дворец,Ледовый каток СК Буревестник; Бурик,0,1,0.8316905,hard_semantic
30,30,продажа домов омская область поселок золотая горка,Горки 21; Горках 21; Горках XXI; Горках Двадцать Один; Горки XXI; Горки Двадцать Один,1,0,0.07701217,label_noise
31,31,развал схождения.,Максимум Ford; Ford Maximum; Ford Максимум; Ford; Автохолдинг Максимум Ford; Максимум; Максимум Ford - официальный дилер Ford; Максимум Ford - официальный сервис Ford; Официальный дилер Ford; Форд Максимум,0,1,0.88585955,label_noise
32,32,сколько стоит замена тормозных колодок,G-Energy Service; Тойота-центр,0,1,0.9073029,non_navigational
33,33,отдых в дубае 2018 цены все включено из москвы,Мальдивиана; Maldiviana; Туроператор Мальдивиана,1,0,0.13901412,requires_search
34,34,массаж для женщин в москве,Тайрай; Tajraj; Tai Rai; Tairai; Тай Рай; Тай-Рай,1,0,0.16558492,hard_semantic
35,35,почта россии,Отделение почтовой связи № 196233; Otdeleniye pochtovoy svyazi Sankt-Peterburg 196233; Почта № 196233; Отделение почтовой связи 196233; Отделение почтовой связи Санкт-Петербург 196233; Отделение почтовой связи Санкт-Петербург № 196233; Почта России; Otdeleniye pochtovoy svyazi Sankt-Peterburg № 196233,0,1,0.91689485,label_noise
36,36,панорамные рестораны москвы,Baccarat Cristal Room; Cristal Room; Cristal Room Baccarat; Cristal Room Baccarat Ресторан Баккарат Кристал Рум; Cristal Room Baccarat ресторан Баккарат Кристал Рум; Ресторан Baccarat Cristal Room; Baccarat,1,0,0.079472676,label_noise
37,37,маникюр в реале котельники,Тет-а-тет; Tet-a-Tet; Tet-a-Tet beauty,1,0,0.15812074,fact_verification
38,38,"24 ,jkmybwf",Городская клиническая больница № 29 имени Н. Э. Баумана; ГКБ № 29 им. Н. Э. Баумана; Больница № 29 им. Н. Э. Баумана,1,0,0.18138902,label_noise
39,39,снять дом в усть кабырзе на сутки,Горки Gesh; Gorki Gesh,1,0,0.16184796,requires_search
40,40,филипс уфа сервис,General; General service; General сервис; Дженерал; Servisny tsentr General,1,0,0.06637946,label_noise
41,41,Сервис,Тандем-авторемонт; Tandem-avtoremont,0,1,0.9075249,hard_semantic
42,42,оформить земельный участок в истринском районе,РиэлторРУ; RealtorRU,1,0,0.12358847,hard_semantic
43,43,днк тест на отцовство в краснодаре цена,Хеликс; Helix,1,0,0.033556107,requires_search
44,44,Электронные Сигареты,Vape Club,0,1,0.7594972,label_noise
45,45,чери тиго 8 про макс 2022 купить в пензе,"Chery Максимум; Chery Maximum; Максимум; Максимум Chery; Максимум официальный дилер Chery; Максимум, официальный дилер Chery",1,0,0.13933058,label_noise
46,46,вич центр,Планета здоровья; Planeta Zdorovia; Планета Здоровья; Planeta zdorovia,0,1,0.8911788,fact_verification
47,47,Дыбенко застройщики спб,Л1; L1 Stroitelnaya kompaniya № 1; L1; Компания Л1; Л1 Строительная компания № 1; Л1 Центральный офис продаж; Лэк строительная компания № 1; СК Л1; Строительная компания Л1; Строительная компания Л1 на Невском проспекте,1,0,0.047892615,label_noise
48,48,школы с бассейнами,Средняя общеобразовательная школа № 204; Gbou School № 204; School No 204; Школа № 204; ГБОУ Школа № 204; ГБОУ средняя общеобразовательная школа № 204 с углубленным изучением иностранных языков Центрального района Санкт-Петербурга!; ГБОУ школа № 204; ГБОУ школа № 204 Центрального района; ГБОУ школа № 204 Центрального района Санкт-петербурга; Средняя Общеобразовательная школа № 204 С Углубленным Изучением Иностранных Языков Центрального района Санкт-петербурга; Средняя общеобразовательная школа № 204 Центрального района Санкт-Петербурга; GBOU School № 204; Gbou Shkola № 204; School № 204,1,0,0.09844644,label_noise
49,49,курская поликлиника,Городская поликлиника № 62; Gbuz City Polyclinic № 62; City Polyclinic № 62; Поликлиника № 62; ГБУЗ ГП № 62 ДЗМ; ГБУЗ Городская поликлиника № 62; ГБУЗ городская поликлиника № 62; ГБУЗ городская поликлиника № 62 ДЗМ; ГП № 62; Гпуз ГП № 62 ДЗМ; Поликлиника № 62 филиал 2; GBUZ City Polyclinic № 62; Gbuz Gp 62 Dzm; Polyclinika № 62 Dzm,1,0,0.17069547,requires_search
50,50,рестораны с панорамным видом в москве,Modus Restaurant; Modus Restaraunt; Modus Friends; Modus Cafe Модус кафе; Modus Pizzeria; Кафе Modus Pizzeria; Модус Фрэндс; Cafe Modus Pizzeria,1,0,0.18086663,label_noise
51,51,город москва следующая заправка азс,"Газпромнефть; Gazpromneft; АЗС; АЗС Газпромнефть; АЗС № 157 Газпромнефть Москва; Газпромнефть АЗС-157; Газпромнефть Азс-157; Газпромнефть, АЗС № 157",1,0,0.23690273,hard_semantic
52,52,фуросемид наличие в аптеках москвы,"Аптека 36,6; Apteka 36,6; 36,6; 36, 6; 36и6; Аптека № 811",1,0,0.08217481,requires_search
53,53,ножницы,Весёлые ножницы; Veselie nojnitsy,0,1,0.8722763,other
54,54,группа крови москва,KDL; KDL - Клинико Диагностические Лаборатории; КДЛ; КДЛ Домодедово-тест; Клинико-диагностическая лаборатория KDL; KDL - Kliniko Diagnosticheskiye Laboratorii,1,0,0.13363685,hard_semantic
55,55,Газовая заправка,Апельсин,0,1,0.7629381,requires_search
56,56,отель москва домодедово,Авиаотель; Aviahotel; Avia hotel,1,0,0.24789654,fact_verification
57,57,цена препарата инстенон,"Максавит; Maksavit; 36, 7; УК Максавит",0,1,0.7901821,non_navigational
58,58,где недорого покушать в аэропорту домодедово,Столовая; Canteen; Kantin,0,1,0.86509657,label_noise
59,59,Ювелирные украшения отДали,Lom,0,1,0.78435767,requires_search
60,60,где поесть в центре питера вкусно и недорого,Обеd; Obed; Обед,0,1,0.85854423,fact_verification
61,61,пропан агзс,Нефтьмагистраль; Neftmagistral; АЗС Нефтьмагистраль; Нефтьмагистраль 051; Унк; Neftmagistral 051,1,0,0.18721282,requires_search
62,62,мотошкола,Автоэкстра; Avtoekstra,0,1,0.88284296,label_noise
63,63,лапша вок,Суши-Маркет; Sushi-Market,0,1,0.786731,label_noise
64,64,утилизация шин в спб,Две атмосферы; Dve atmosfery,1,0,0.06673502,fact_verification
65,65,мех обработка,КожаМехСервис; KozhaMekhServis,0,1,0.87456393,label_noise
66,66,цветы 24 часа,Rus Florist,0,1,0.75836957,requires_search
67,67,доставка,Чайхана Дружба Народов; Chayhana Druzhba Narodov; Drujba Narodov; Дружба Народов; Дружба народов; Chaihona; Druzhba Narodov; Teahouse Druzhba Narodov,0,1,0.81831664,fact_verification
68,68,Дом печати,Уральский Печатный Дом; Upd,0,1,0.86657965,label_noise
69,69,итальянские рестораны в санкт-петербурге,"Sea, Signora",1,0,0.16322623,hard_semantic
70,70,пицца в братеево доставка,Pizza express; Pizza Express 24; Pizza Express,0,1,0.7893781,requires_search
71,71,постройка мансардной крыши,Krovlyamag.ru; КровляМаг,0,1,0.85800874,label_noise
72,72,быстрая доставка по россии,Шашлык Хитс; Shashlik Hits; Hits; Шашлык Hits,0,1,0.8640657,hard_semantic
73,73,строительный магазин 24 часа,Максидом; Maksidom; Maxidom,0,1,0.804269,requires_search
74,74,индийские рестораны в санкт-петербурге,Грейт Пунджаб; Great Punjab; Great punjab; Грэйт Пенджаб,1,0,0.16800158,fact_verification
75,75,китайский ресторан,Gagawa,0,1,0.84049714,requires_search
76,76,химчистка калиниского района,"Магия чистоты; Magiya chistoty; Магия чистоты, пункт приема",0,1,0.84850276,requires_search
77,77,пивной ресторан на проспекте вернадского,Ларионов; Larionov; Larionov grill bar; Ларионов Grill & Bar; Ларионов Grill&Bar; Ларионов Гриль и бар; Larionov Grill & Bar; Larionov Grill Bar; Larionov Grill&Bar,0,1,0.77513444,fact_verification
78,78,сделать курсовую работу на заказ цена,Копировальный центр; Vosstaniya 1; Copycenter; Копицентр; Восстания 1; Копицентр Восстания 1,0,1,0.8048228,fact_verification
79,79,техникумы челябинска после 9 класса список,"УрСЭИ, академия труда и социальных отношений; UrSEI; УрСЭИ АТиСО; АТиСО; АТиСО, УрСЭИ, экономический колледж; УР Сэи ОУП ВО АТиСО; УР Сэи ОУП ВО академия труда и социальных отношений; УрСЭИ; УрСЭИ, филиал АТиСО; УрСЭИ, филиал АТиСО, экономический колледж; УрСЭИ, филиал ОУП ВО АТиСО, экономический колледж; Уральский социально-экономический институт Образовательного учреждения профсоюзов высшего образования академия труда и социальных отношений; Уральский социально-экономический институт филиал Образовательного учреждения профсоюзов высшего образования Академии труда и социальных отношений; Ur Sei filial Oup Vo At i So; Uralsky sotsialno-ekonomichesky institut",1,0,0.024675919,fact_verification
80,80,тир с боевым оружием в санкт-петербурге,"Стрелковый клуб, тир Русское оружие; Rusgun; Русское оружие",1,0,0.044837568,hard_semantic
81,81,романтические рестораны в москве,Butler; Butler Restaurant&Hotel; Батлер Ресторан эн Отель; Батлер ресторан эн Отель; Бывш. Шенонсо,1,0,0.207709,requires_search
82,82,госдума,"Самарская губернская дума; Samarskaya Gubernskaya Duma Komitet po obrazovaniyu i nauke; Губернская Дума; Дума; Самарская Губернская Дума; Самарская Губернская Дума Комитет по законодательству, законности и правопорядку; Самарская Губернская Дума, комитет по образованию и науке; Samarskaya Gubernskaya Duma; Samarskaya Gubernskaya Duma Komitet po zakonodatelstvu, zakonnosti i pravoporyadku",0,1,0.7571574,fact_verification
83,83,грузинские рестораны москвы,Чито-Ра; Chito-Ra; Грузинская кухня Чито-Ра; Духан Чито-Ра; Чито-Ра на Курской; Chito_Ra,1,0,0.21814731,requires_search
84,84,пивные рестораны санкт-петербурга с собственной пивоварней,Брассерия Kriek; Brasserie Kriek; Брассерия Крик; Крик; Kriek,1,0,0.22021925,requires_search
85,85,ПООБЕДАТЬ ТВЕРЬ,Лапшичка; Lapshichka,1,0,0.12428156,fact_verification
86,86,Лазерная хирургия,Ля Фамм; La Femme,0,1,0.8726193,label_noise
87,87,газовые заправки,Energy Gas; Energy-gas,0,1,0.8993487,label_noise
88,88,Флюорография,Медлайн-Сервис; Medlineservice; МЕДЛАЙН-СЕРВИС ООО; Медицинский центр Медлайн-Сервис на Речном Вокзале; МедлайН-Сервис; Медлайн; Медлайн сервис м. Речной вокзал; Медлайн-сервис; Medlayn-Servis,0,1,0.7806866,requires_search
89,89,Авто электрик,Автосервис; Avtoservis. vao,0,1,0.9293765,requires_search
90,90,почтовые боксы,Ozon Box,1,0,0.23666404,label_noise
91,91,страхование шенген,Страхование; ABGroup Insurance; ABGroup; АБГрупп Страхование; АйБрокер Страхование; Ibroker,0,1,0.8310733,label_noise
92,92,официальный сайт ген.прокурора российской федерации,Генеральная прокуратура Российской Федерации; Prosecutor General's Office of the Russian Federation; Генеральная прокуратура РФ; Генеральная прокуратура; Генпрокуратура РФ; Управление взаимодействие органов Генеральной прокуратуры со СМИ РФ; Управление взаимодействия со СМИ; Управление взаимодействия со средствами массовой информации Генеральной прокуратуры Российской Федерации,0,1,0.8843148,non_navigational
93,93,фуросемид наличие в аптеках москвы,Будь Здоров!; Аптека Будь Здоров!; Аптека Будь здоров!; Будь Здоров; Будь здоров,1,0,0.05204949,non_navigational
94,94,заказать вынос мусора и вывоз,Центр утилизации; Centr Utilizatsii; Утилизация; Tsentr Utilizatsii; Центр Утилизации,0,1,0.87583816,label_noise
95,95,ремонт цсм,"Государственный региональный центр стандартизации, метрологии и испытаний в Смоленской области; FBU Regionalny tsentr standartizatsii,metrologii i ispytany g. Smolensk; ФБУ; Метрологии и Сертификации; Смоленский центр стандартизации; Смоленский центр стандартизации метрологии и измерений в Смоленской области ФБУ; Смоленский центр стандартизации, метрологии и измерений в Смоленской области, ФБУ; Смоленский центр стандартизации, метрологии и сертификации; ФБУ Региональный центр стандартизации, метрологии и испытаний в Смоленской области; ФБУ Региональный центр стандартизации, метрологии и испытаний г. Смоленск; ФБУ Региональный центр стандартизации,метрологии и испытаний в Смоленской области; ФБУ Смоленский ЦСМ; ФГУ; Центр стандартизации, метрологии и испытаний; метрологии и сертификации; Fbu Regionalny tsentr standartizatsii, metrologii i ispytany g. Smolensk; Smolensky tsentr standartizatsii metrologii i izmereny V Smolenskoy oblasti Fbu; Smolensky tsentr standartizatsii metrologii i izmereny v Smolenskoy oblasti FBU",0,1,0.8777877,hard_semantic
